0,1,2,3,No-step
0.25690531811136014,0.7430946818886397,21.0,11.0,1_11_1
0.2700236904781548,0.7299763095218453,21.0,11.0,8_11_0
0.25902497900494337,0.7409750209950565,21.0,11.0,9_11_1
0.21094356241741066,0.7890564375825891,21.0,11.0,14_11_0
0.2515262043650682,0.7484737956349317,21.0,11.0,23_11_0
0.38795213008061263,0.6120478699193874,21.0,11.0,35_11_1
0.2665920218958378,0.7334079781041621,21.0,11.0,46_11_1
0.2546519993142957,0.7453480006857044,21.0,11.0,72_11_0
0.517218046064041,0.482781953935959,11.0,11.0,78_11_0
0.4193300370546129,0.5806699629453872,21.0,11.0,81_11_0
0.2378005156489465,0.7621994843510536,21.0,21.0,1_21_6
0.2547467384361376,0.7452532615638623,21.0,21.0,5_21_6
0.29369699241554426,0.7063030075844556,21.0,21.0,6_21_1
0.308961529951003,0.6910384700489968,21.0,21.0,7_21_1
0.21144165770606602,0.7885583422939338,21.0,21.0,9_21_5
0.3699403985283004,0.6300596014716995,21.0,21.0,16_21_1
0.30751291449947854,0.6924870855005215,21.0,21.0,17_21_3
0.33042333419562014,0.6695766658043798,21.0,21.0,19_21_1
0.24677182245409576,0.7532281775459043,21.0,21.0,21_21_2
0.2539893594194218,0.7460106405805783,21.0,21.0,21_21_3
0.24957749521223108,0.7504225047877688,21.0,21.0,22_21_0
0.2595489266223903,0.7404510733776097,21.0,21.0,23_21_1
0.24406838034560233,0.7559316196543978,21.0,21.0,23_21_2
0.26360485796543126,0.7363951420345688,21.0,21.0,23_21_7
0.25616344877275404,0.743836551227246,21.0,21.0,31_21_3
0.2585093966026745,0.7414906033973254,21.0,21.0,34_21_1
0.25575054147774806,0.7442494585222518,21.0,21.0,34_21_4
0.2772000870107152,0.7227999129892849,21.0,21.0,34_21_5
0.3389509950611105,0.6610490049388894,21.0,21.0,35_21_0
0.23485511612750953,0.7651448838724901,21.0,21.0,39_21_1
0.295969173297175,0.7040308267028249,21.0,21.0,40_21_0
0.3457429027707692,0.6542570972292305,21.0,21.0,45_21_0
0.3208013798003913,0.6791986201996085,21.0,21.0,47_21_1
0.37569991111052886,0.6243000888894712,21.0,21.0,47_21_3
0.2993329028433026,0.7006670971566975,21.0,21.0,48_21_3
0.24384000333616415,0.7561599966638358,21.0,21.0,53_21_2
0.23744566834039263,0.7625543316596075,21.0,21.0,54_21_2
0.2582278770322163,0.7417721229677836,21.0,21.0,55_21_2
0.27752144181593136,0.7224785581840687,21.0,21.0,56_21_6
0.28811056713414807,0.711889432865852,21.0,21.0,57_21_4
0.3546561578512137,0.6453438421487864,21.0,21.0,61_21_2
0.3402043484152103,0.6597956515847897,21.0,21.0,62_21_0
0.29341496277136675,0.7065850372286332,21.0,21.0,64_21_1
0.2536937166491812,0.7463062833508187,21.0,21.0,73_21_1
0.46247621897824415,0.5375237810217559,21.0,21.0,78_21_0
0.2636612520076728,0.7363387479923271,21.0,21.0,80_21_2
0.2749862450853682,0.7250137549146319,21.0,11.0,6_11_0
0.23694626175184316,0.7630537382481567,21.0,11.0,12_11_0
0.2894028569820094,0.7105971430179907,21.0,11.0,33_11_1
0.2669609627915445,0.7330390372084553,21.0,11.0,36_11_1
0.2657412813791689,0.7342587186208309,21.0,11.0,37_11_1
0.3859761070816923,0.6140238929183076,21.0,11.0,38_11_0
0.2579710066961875,0.7420289933038124,21.0,11.0,41_11_0
